city,state,name,rating,address,days,phone
Easton,PA,Lonestar Steakhouse,- NA -,20 Kunkle Drive,TU,(610) 252-1180
Duncansville,PA,Prime Buffet,- NA -,501 Municipal Dr,MO,(814) 693-8504
Bensalem,PA,IHOP,- NA -,1982 Street Rd,FR,(215) 638-1991
Belle Vernon,PA,Ponderosa Steakhouse,- NA -,120 Sara Way,TU,(724) 929-6013
ASTON,PA,Barnaby\'s,- NA -,5501 Pennell Rd,WE,(610) 558-1929
Aston,PA,Memories Grill,- NA -,3458 Pennell Rd,MO,(610) 494-8062
Bangor,PA,Moes Southwest Grill,- NA -,26 Bartonsville Plz,TU,(570) 422-6630
Coventry,RI,Dennys Restaurant,- NA -,785 Centre Of New England Blvd,TU,(401) 827-0321
Westerly,RI,W B Codys,- NA -,265 Post Rd,SU,(401) 322-4070
Allentown,PA,Bostons The Gourmet Pizza,- NA -,327 Star Rd,SU  MO  TU  WE  TH  FR  SA,(610) 841-5900
Allentown,PA,Dennys Restaurant,- NA -,1871 Catasauqua Road,TU  SA,(610) 264-8063
Allentown,PA,Lonestar Steakhouse,- NA -,1410 Grape Street,TU,(610) 432-0939
Altoona,PA,Dennys Restaurant,- NA -,220 Park Pl,TU  SA,(814) 942-4223
Murfreesboro,TN,Applebees Neighborhood Grill & Bar,- NA -,2896 S Rutherford Blvd,TU,(615) 895-7777
Murfreesboro,TN,Hooters,- NA -,1310 NW Broad Street,SU,(615) 867-2337
Jackson,TN,Lonestar Steakhouse,- NA -,2116 Emporium Drive,TU,(731) 668-0088
Hixson,TN,Blue Coast Burrito,- NA -,"5591 Highway 153, Ste 160",TH,(423) 877-1880
Morristown,TN,IHOP,- NA -,471 S Davy Crockett Pkwy,MO  TU  WE  TH,(423) 587-4433
Morristown,TN,Zaxbys,- NA -,479 S Davy Crockett Pkwy,MO,(423) 318-8858
Maryville,TN,T.G.I. Fridays,- NA -,104 Keller Lane,SU,(865) 982-1739
Memphis,TN,Dinos Grill,- NA -,645 N McLean Blvd,TU,(901) 278-9127
Memphis,TN,Dinos Grill,- NA -,645 N McLean Blvd,TU,(901) 278-9127
Memphis,TN,Hooters,- NA -,"2838 New Brunswick Road, Wolfchase",SA,(901) 266-4404
Memphis,TN,IHOP,- NA -,1661 Sycamore View Rd,SU,(901) 213-3195
Memphis,TN,Three Guys Pizza Pies,- NA -,"8078 Waterford Cir, Apt 202",TU,(901) 590-2343
Johnson City,TN,Hooters,- NA -,2288 N Roane Street,SA,(423) 610-1484
Knoxville,TN,Earth Fare,- NA -,10903 Parkside Dr,TH,(865) 777-3837
Knoxville,TN,Earth Fare,- NA -,140 N Forest Park Blvd,TH,(865) 558-1432
Knoxville,TN,Firehouse Subs,- NA -,8853 Town And Country Cir,WE,(865) 531-2303
Knoxville,TN,Firehouse Subs,- NA -,5222 N Broadway St,WE,(865) 357-9866
Knoxville,TN,Firehouse Subs,- NA -,1708 Cumberland Ave,WE,(865) 673-0864
Knoxville,TN,Firehouse Subs,- NA -,128 Buckingham Dr,WE,(865) 212-5507
Knoxville,TN,Firehouse Subs,- NA -,4419 Western Ave,WE,(865) 200-8681
Knoxville,TN,Fuddruckers,- NA -,8851 Town And Country Circle,MO  TU  WE,(865) 531-9494
Knoxville,TN,Hooters,- NA -,8050 Kingston Pike,SA,(865) 694-4668
Knoxville,TN,Hooters,- NA -,5005 Central Ave Pike (Merchants Dr),SA,(865) 688-8066
Knoxville,TN,IHOP,- NA -,313 Lovell Rd,MO  TU  WE  TH  FR,(865) 671-3804
Knoxville,TN,Ihop,- NA -,5604 Merchants Center Blvd,SU  MO  TU  WE  TH  FR  SA,(865) 689-1202
Knoxville,TN,Mamma Blues,- NA -,9645 Kingston Pike,TU,(865) 357-7774
Knoxville,TN,McAlisters Deli,- NA -,2758 Schaad Rd,WE,(865) 938-4300
Knoxville,TN,Moes,- NA -,9450 South Northshore Dr,SA,(865) 470-2844
Knoxville,TN,Moes Southwest Grill,- NA -,1800 Cumberland Ave,SU  SA,(865) 637-2700
Knoxville,TN,Qdoba Mexican Grill,- NA -,7339 Kingston Pike,SU  SA,(865) 588-3333
Knoxville,TN,We\'re Cooking Restaurant,- NA -,159 N Peters Rd,MO  TU  WE,(865) 766-5509
Hermitage,TN,Applebees Neighborhood Bar And Grill,- NA -,5055 Old Hickory Blvd,TU,(615) 883-6722
Ft Campbell_Clarksville,TN,Hooters,- NA -,750 N. Riverside Drive,SA,(931) 920-8400
Athens,TN,Western Sizzlin,- NA -,1804 Decatur Pike,SU  MO  TU  WE  TH  FR  SA,(423) 745-2626
Alcoa,TN,Hooters,- NA -,1094 Hunter Crossing Drive,SA,(865) 983-1366
Crossville,TN,Dickey's Barbecue Pit,- NA -,965 Northside Drive,SU,(931) 484-4900
Clarksville,TN,Applebees Neighborhood Bar And Grill,- NA -,3066 Wilma Rudolph Blvd,TU,(931) 551-8020
Elizabethton,TN,Lonestar Steakhouse,- NA -,1361 Highway 19,TU,(423) 543-1313
Dandridge,TN,Cowboy's Seafood On The Water,- NA -,1435 Highway 139,SU  MO  TU  WE  TH  FR  SA,(865) 397-2529
Chattanooga,TN,Earth Fare,- NA -,1814 Gunbarrel Road Suite 100,TH,(423) 855-2511
Chattanooga,TN,Firehouse Subs,- NA -,"1820 Gunbarrel Rd, Ste 700",SU  WE,(423) 475-5491
Chattanooga,TN,Fresh 2 Order,- NA -,"1919 Gunbarrel Rd, # 115",SU,(423) 826-5000
Chattanooga,TN,Hooters,- NA -,5912 Brainerd Road,SA,(423) 499-8668
Chattanooga,TN,McAlisters Deli,- NA -,2288 Gunbarrel Rd,TH,(423) 510-8299
Virginia Beach,VA,A J Gators Sports Bar & Grill,- NA -,3908 Holland Rd,SA,(757) 340-3722
Virginia Beach,VA,A J Gators Sports Bar & Grill,- NA -,2947 Shore Drive,SA,(757) 395-4199
Virginia Beach,VA,A J Gators Sports Bar & Grill,- NA -,1637 Hilltop West Shopping Ctr,SA,(757) 961-6474
Virginia Beach,VA,A J Gators Sports Bar & Grill,- NA -,5218 Fairfield Shopping Center,SA,(757) 333-4135
Virginia Beach,VA,Atlas,- NA -,2158 Greak Neck Square,WE,(757) 496-3839
Virginia Beach,VA,Cozumel,- NA -,1479 General Booth Blvd,SU  WE,(757) 422-9999
Virginia Beach,VA,Dennys Restaurant,- NA -,3337 Virginia Beach Blvd,TU  SA,(757) 463-5924
Virginia Beach,VA,Dennys Restaurant,- NA -,198 Newtown Rd,TU  SA,(757) 497-8535
Virginia Beach,VA,Dennys Restaurant,- NA -,5720 North Hampton Blvd,TU  SA,(757) 460-8536
Virginia Beach,VA,Firehouse Subs,- NA -,3388 Princess Anne Rd,TU,(757) 468-7827
Virginia Beach,VA,Firehouse Subs,- NA -,1577 Laskin Rd,TU,(757) 425-3473
Virginia Beach,VA,Guacalajara Mexican Restaurant,- NA -,509 Hilltop Plz,WE,(757) 491-1613
Virginia Beach,VA,Hooters of Virginia Beach,- NA -,1495 General Booth Blvd,WE,(757) 428-5400
Virginia Beach,VA,IHOP,- NA -,1316 Fordham Drive,SU  MO  TU  WE  TH  FR  SA,(757) 523-9851
Virginia Beach,VA,Max & Ermas,- NA -,4512 Virginia Beach Blvd,TU,(757) 493-8088
Virginia Beach,VA,Moes Southwest Grill,- NA -,869 Lynnhaven Parkway,SU,(757) 689-8970
Virginia Beach,VA,Moes Southwest Grill,- NA -,869 Lynnhaven Parkway,SU,(757) 689-8970
Virginia Beach,VA,Pop's Diner Co.,- NA -,1432 Greenbrier Parkway,SU  MO  TU  WE  TH  FR  SA,(757) 502-8220
Virginia Beach,VA,Pops Diner Co,- NA -,2808 Sabre St,SU  MO  TU  WE  TH  FR  SA,(757) 340-6085
Virginia Beach,VA,Qdoba Mexican Grill,- NA -,1833 Republic Road,SU,(757) 228-7300
Virginia Beach,VA,T.G.I. Friday,- NA -,796 Lynnhaven Pkwy,TU,(757) 468-6818
Virginia Beach,VA,Tijuana Flats,- NA -,1544 Laskin Rd,SU,(757) 321-1685
Virginia Beach,VA,Tijuana Flats,- NA -,1544 Laskin Rd,SU,(757) 321-1685
Virginia Beach,VA,Village Inn,- NA -,313 Independence Blvd,TU,(757) 499-5557
Salem,VA,Dickey's Barbecue Pit,- NA -,1419 West Main Street,SU,(540) 387-9898
Salem,VA,Famous Anthony's,- NA -,1716 W Main St,MO  SA,(540) 389-4502
South Hill,VA,Dennys Restaurant,- NA -,911 E Atlantic St,TU  SA,(434) 447-2288
Portsmouth,VA,Long John Silvers,- NA -,5405 Portsmouth Blvd,WE,(804) 465-8914
Midlothian,VA,Zeros Sub Shop,- NA -,13825 Village Place Dr,SU  MO  TU  WE  TH  FR  SA,(804) 378-7827
Richmond,VA,Chick-fil-A,- NA -,4443 South Laburnum Ave,TU,(804) 236-4601
Richmond,VA,Lonestar Steakhouse,- NA -,8099 W. Broad Street,TU,(804) 747-8783
Richmond,VA,Lonestar Steakhouse,- NA -,10456 Midlothian Turnpike,TU,(804) 272-0391
Richmond,VA,McAlister's Deli,- NA -,1300 Gaskins Rd,TU,(804) 750-1440
Richmond,VA,Qdoba Mexican Grill,- NA -,"11500 Midlothian Tpke, Ste P02A",SU,(804) 378-3050
Richmond,VA,River City Dinner,- NA -,803 East Parham Road,WE,(804) 266-1500
Richmond,VA,Spinnakers Of Midlothian,- NA -,11500 Midlothian Tpke,MO  TU  WE  TH,(804) 794-0045
Myrtle Beach,SC,Rioz Brazilian Steakhouse,- NA -,385 Highway 701 S,SU  MO  TU  WE  TH  FR  SA,(843) 839-0777
Roanoke,VA,Famous Anthony's,- NA -,6499 Williamson Rd,MO  SA,(540) 362-1400
Roanoke,VA,Firehouse Subs,- NA -,5044 Keagy Road,TU,(540) 204-4471
Roanoke,VA,Henry's Memphis BBQ,- NA -,677 Brandon Avenue,MO  TU,(540) 904-2727
Roanoke,VA,Pitt Boss BBQ,- NA -,3904 Brambleton Ave,TU  WE  TH,(540) 400-6645
Roanoke,VA,T.G.I. Fridays,- NA -,4869 Valley View Blvd NW,SU,(540) 362-1475
Roanoke,VA,The Historic Pine Tavern,- NA -,611 Floyd Hwy N.,SU  MO  TU  WE  TH  FR  SA,(540) 745-4482
Norfolk,VA,A J Gators Sports Bar & Grill,- NA -,244 Granby St,SA,(757) 622-5544
Norfolk,VA,A J Gators Sports Bar & Grill,- NA -,7515 Granby St,SA,(757) 423-7200
Norfolk,VA,Friendly's,- NA -,5764 E. Virginia Beach Blvd,TU,(757) 455-5523
Norfolk,VA,Hooters,- NA -,1160 N Military Hwy,WE,(757) 466-1598
Norfolk,VA,Hooters Of Waterside I,- NA -,"333 Waterside Dr, Ste 104",WE,(757) 622-9464
Norfolk,VA,Lonestar Steakhouse,- NA -,450 N. Military Highway,TU,(757) 466-0124
Norfolk,VA,Max & Ermas,- NA -,300 Monticello Ave,TU,(757) 625-7771
Norfolk,VA,Qdoba Mexican Grill,- NA -,1140 N. Military Hwy,SU,(757) 455-8280
Newport News,VA,Hooters,- NA -,12640 Jefferson Ave,WE,(757) 886-9464
Newport News,VA,Keagan's Irish Pub And Grill,- NA -,12551 Jefferson Ave,TU,(757) 890-4560
Madison Heights,VA,Country Cookin,- NA -,4744 S Amherst Hwy,MO,(434) 528-0607
Lynchburg,VA,Country Cookin,- NA -,20584 Timberlake Rd,MO,(434) 239-1996
Lynchburg,VA,Dickey's Barbecue Pit,- NA -,4017 Wards Road,SU,(434) 237-8465
Lynchburg,VA,T.G.I. Fridays,- NA -,7815 Timberlake Rd.,SU,(434) 237-9260
Kingwood,TX,Texas Roadhouse,- NA -,23750 Highway 59 N,WE,(281) 548-7427
Mechanicsville,VA,TGI Friday's,- NA -,8100 Creighton Pkwy,TU,(804) 559-2426
Front Royal,VA,Los Potrillos Mexican Restaurant,- NA -,90 Riverton Commons Dr,WE,(540) 622-2144
Glen Allen,VA,Chick-fil-A,- NA -,10176 Brook Road,TU,(804) 627-0497
Galax,VA,Bogeys Restaurant,- NA -,103 Country Club Lane,WE,(276) 236-60
Fairfax,VA,Champps Americana,- NA -,11750 Lee Jackson Memorial Hwy,TU,(703) 383-1200
Fredericksburg,VA,Lonestar Steakhouse,- NA -,2051 Plank Road,TU,(540) 374-1565
Henrico,VA,Qdoba Mexican Grill,- NA -,9460 W Broad St,SU,(804) 935-5680
Danville,VA,Lonestar Steakhouse,- NA -,255 Lowes Drive,TU,(434) 791-4428
Harrisonburg,VA,A J Gators Sports Bar & Grill,- NA -,1047 Port Republic Road.,SA,(540) 433-2204
Hampton,VA,Hooters Of Hampton,- NA -,1801 W Mercury Blvd,WE,(757) 827-3010
Hampton,VA,Lonestar Steakhouse,- NA -,1940 Power Plant Pkwy.,TU,(757) 262-0013
Daleville,VA,Lil Cucci S Pizzeria,- NA -,1396 Roanoke Rd,TU  WE  TH  FR  SA,(540) 966-5923
Colonial Heights,VA,Lonestar Steakhouse,- NA -,2001 Southpark Road,TU,(804) 520-1009
Chesapeake,VA,A J Gators Sports Bar & Grill,- NA -,"1464 Mount Pleasant Rd, Ste 34",SA,(757) 482-0096
Chesapeake,VA,A J Gators Sports Bar & Grill,- NA -,"1245 Cedar Rd, Ste F",SA,(757) 548-4600
Chesapeake,VA,A J Gators Sports Bar & Grill,- NA -,"4300 Portsmouth Blvd, Ste 210",SA,(757) 405-3996
Chesapeake,VA,A J Gators Sports Bar & Grill,- NA -,"1464 Mount Pleasant Rd, Ste 34",SA,(757) 482-0096
Chesapeake,VA,Boston Market,- NA -,1300 Greenbrier Pkwy,SU  SA,(757) 382-9552
Chesapeake,VA,Friendly's,- NA -,1625 Ring Road,TU,(757) 424-0216
Chesapeake,VA,Lonestar Steakhouse,- NA -,1570 Crossways Blvd.,TU,(757) 424-6917
Chesapeake,VA,T.G.I. Fridays,- NA -,110 Volvo Pkwy,TU,(757) 549-6100
Chesapeake,VA,The Greene Turtle Sports Bar & Grill,- NA -,1401 Greenbrier Pkwy,TU,(757) 361-6854
Catawba,VA,The Homeplace Restaurant,- NA -,Hwy 311,SU  MO  TU  WE  TH  FR  SA,(540) 384-7252
Midvale,UT,Dennys Restaurant,- NA -,7051 S 1300 East,TU  SA,(801) 233-9280
Midvale,UT,Dennys Restaurant,- NA -,401 W 7200 S.,WE  SA,(801) 561-4112
Midvale,UT,Lonestar Steakhouse,- NA -,7176 S. 900th East,TU,(801) 568-2600
Midvale,UT,Marie Callenders,- NA -,963 Fort Union Blvd,TU  SA,(801) 561-9243
South Jordan,UT,Dennys Restaurant,- NA -,10646 South 300 West,WE  SA,(801) 553-8489
Carrollton,VA,A J Gators Sports Bar & Grill,- NA -,13609 Carrollton Blvd,SA,(757) 238-8830
Tooelo,UT,Dennys Restaurant,- NA -,925 North Main St,WE  SA,(435) 843-8200
Alexandria,VA,Lonestar Steakhouse,- NA -,3141 Duke Street,TU,(703) 823-7827
Alexandria,VA,Shanes Rib Shack,- NA -,7698 Richmond Hwy,SU  SA,(703) 660-6288
Salt Lake City,UT,Carl's Jr,- NA -,293 West 2100 South,WE,(801) 467-2767
Salt Lake City,UT,Carl's Jr,- NA -,1726 W North Temple,WE,(801) 333-3175
Salt Lake City,UT,Carl's Jr,- NA -,8635 S Highland Drive,WE,(801) 453-9280
Salt Lake City,UT,Dennys Restaurant,- NA -,250 W 500 S,WE  SA,(801) 355-1210
Salt Lake City,UT,Dennys Restaurant,- NA -,1701 W. North Temple,WE  SA,(801) 531-6901
Salt Lake City,UT,Lonestar Steakhouse,- NA -,1206 E. 2100 South,TU,(801) 466-1968
Salt Lake City,UT,Marie Callenders,- NA -,1109 E 3900 S,TU  SA,(801) 266-1497
Salt Lake City,UT,Marie Callenders,- NA -,2882 W 4700 S,TU  SA,(801) 966-7400
Sandy,UT,Carl's Jr,- NA -,10475 South State Street,WE,(801) 495-3929
Sandy,UT,Chick-fil-A,- NA -,10090 South State Street,WE,(801) 563-9716
Murray,UT,Dennys Restaurant,- NA -,420 W. 4500 S.,WE  SA,(801) 262-8251
Logan,UT,Carl's Jr,- NA -,1390 N Main,WE,(435) 792-4841
Draper,UT,Carl's Jr,- NA -,12362 South Minuteman Drive,WE,(801) 495-0292
Lehi,UT,Paradise Bakery,- NA -,562 W Main St,MO  TU,(801) 216-8484
Layton,UT,Carl's Jr,- NA -,925 West Antelope Dr,WE,(801) 773-9066
Layton,UT,Dennys Restaurant,- NA -,991 N 400 W,TU  SA,(801) 544-1284
Layton,UT,Lonestar Steakhouse,- NA -,820 N. Main Street,TU,(801) 593-9823
Layton,UT,Marie Callenders,- NA -,1600 Woodland Park Dr,TU  SA,(801) 825-3668
Cottonwood Heights,UT,Carl's Jr,- NA -,6959 S 1300 East,WE,(801) 569-8990
Bountiful,UT,Marie Callenders,- NA -,406 S Main St,TU  SA,(801) 292-8474
South Charleston,WV,Quaker Steak & Lube,- NA -,2931 Mountaineer Blvd,WE,(304) 746-9401
Clearfield,UT,Carl's Jr,- NA -,582 N Main St,WE,(801) 773-4406
Centerville,UT,Carl's Jr,- NA -,385 N 800 West,WE,(801) 294-7892
Centerville,UT,Lonestar Steakhouse,- NA -,111 S. Frontage Road,TU,(801) 294-8300
Glen Dale,WV,Ponderosa Steakhouse,- NA -,1605 Wheeling Avenue,TU,(304) 845-6500
Sophia,WV,Dickey's Barbecue Pit,- NA -,837 Robert C Byrd Dr,SU,(304) 683-4742
Charleston,WV,Lonestar Steakhouse,- NA -,6515 MacCorkle Avenue,TU,(304) 926-8459
BLUEFIELD,WV,Macado's,- NA -,1711 Mercer Mall,TU,(304) 325-8557
Bluefield,WV,Macado's,- NA -,3815 Robt C Byrd Dr,TU,(304) 256-3880
Waxahachie,TX,Dickey's Barbecue Pit,- NA -,1009 Highway 77 North,SU,(972) 937-3030
Waco,TX,Applebee's,- NA -,614 N Valley Mills Dr,TU,(254) 751-9084
Weatherford,TX,Dickey's Barbecue Pit,- NA -,2020 South Main Street,SU,(817) 594-0521
Webster,TX,Black-eyed Pea,- NA -,160 West Bay Area Blvd.,TU,(281) 338-2571
Webster,TX,Firehouse Subs,- NA -,"304 W Bay Area Blvd, Ste 100",SU,(281) 338-7829
University Park,TX,Chick-fil-A,- NA -,6423 Hillcrest Avenue,TU,(214) 599-9944
University Park,TX,Penne Pomodoro,- NA -,6815 Snider Plaza,WE,(214) 373-9911
Tyler,TX,Daniel Boones Bean & Burger,- NA -,1920 E Southeast Loop 323,MO  TU  SA,(903) 595-2228
Tyler,TX,Texas Roadhouse,- NA -,2101 E Southeast Loop 323,TU,(903) 509-0053
Beckley,WV,Dickey's Barbecue Pit,- NA -,1002 N Eisenhower,SU,(304) 252-7675
